Product & Geography Sales Metrics (CCL Supplier),,,,
Time:Week Ending 11-01-23,,,,
CCL Supplier:All CCL Suppliers,,,,
CCL Brand:All CCL Brands,,,,
Geography,Product,UPC ID,Dollar Sales,Unit Sales
0006,Grizzlypaw Black Cherry Cola 1420 Ml,00087452801000,0,0
0006,Cocacola Cherry Coke 330 Ml,00544900001950,0,0
0006,Canaddry Gingerale Diet Blckb 355 Ml,00006210001192,0,0
0006,Marco Soda Ginger Can 355 Ml,00062869376104,0,0
0006,Cocacola Soft Drink Bottle 300 Ml,00006700001805,0,0
0006,Nestea Iced Tea 500 Ml,00005500018383,0,0
0006,Grizzlypaw Grapefruit Soda 1420 Ml,00087452801005,0,0
0006,Panache Prem Soda Ginger Beer 800 Ml,00062368213400,0,0
0006,Sumol Passion Fruit Drink 1500 Ml,00068297801131,0,0
0006,Jarritos Soft Drink Watermelon 370 Ml,00009047801262,0,0
0006,Panache Prem Soda Tonic Water 800 Ml,00062368213401,0,0
0006,Fentimans Ginger Beer 800 Ml,00502939601222,0,0
0006,Cocacola Diet 4260 Ml,00006700011403,0,0
0006,Muskoka Old Tyme Orange 355 Ml,00062168063238,0,0
0006,Incakola Soft Drink 2000 Ml,00004900003728,0,0
0006,Fentiman Connoisseur Tonic 800 Ml,00502939601225,0,0
0006,Sparkmth Ccmbr Mint Tonic Try 250 Ml,00081827801932,0,0
0006,Marble Pop Original 200 Ml,00007441078811,0,0
0006,Popshopp Pineapple 355 Ml,00018000901007,0,0
0006,Annex Root Beer 355 Ml,00062850433304,0,0
0006,Schweppe Ginger Ale 355 Ml,00001660001121,0,0
0006,Big8 Tonic Water 2000 Ml,00006448001142,0,0
0006,Jarritos Soft Drink Tamarind 370 Ml,00009047842002,0,0
0006,Canadadr Lemonade Ginger Ale 355 Ml,00006210001182,0,0
0006,Crush Soda Orange 355 Ml,00005600001155,0,0
0006,Annex Ginger Beer 355 Ml,00062850433305,0,0
0006,1642 Sparkling Beverage Yuzu 750 Ml,00062805581931,0,0
0006,Mug Rootbeer 355Ml 355 Ml,00006900005050,0,0
0006,Phillips Soda Daredevl Orngcrm 355 Ml,00081827801905,0,0
0006,Cocacola Diet 250 Ml,00006700001919,0,0
0006,Candry Ginger Ale Cbry 355Ml 355 Ml,00006210001248,0,0
0006,Virgil Cream Soda 355 Ml,00003391913345,0,0
0006,Chill Street Picnic Wild Blueb 330 Ml,00084055701009,0,0
0006,Minhascr Ginger Beer 330 Ml,00008526841494,0,0
0006,Muskoka Silver Birch Beer 355 Ml,00062168063244,0,0
0006,Hata Ramune Soda Strawberry 200 Ml,00490249410015,0,0
0006,Coolrngs Energy Drink 250 Ml,00062491301727,0,0
0006,Stewarts Soda Grape 355 Ml,00009879401035,0,0
0006,Fentiman Soda Tonic Water 275 Ml,00502939601034,0,0
0013,Drpepper Diet 355 Ml,00005490001030,0,0
0013,Minhascr Soda Black Cherry 330 Ml,00008526841479,0,0
0013,A&W Root Beer 1332 Ml,00005953101282,0,0
0013,Fentiman Ginger Beer 275 Ml,00502939601031,0,0
0013,Jarritos Soft Drink S/Bry Frt 370 Ml,00009047842009,0,0
